DATEOFFIRE,TOTALFIRELOSS,TOTALPROPERTYVALUE
01-Jan-19,41000,11683770
02-Jan-19,3600,1035600
03-Jan-19,207005,7327000
04-Jan-19,7130,6010030
05-Jan-19,150600,2560000
06-Jan-19,4875,28400
07-Jan-19,36000,65000
08-Jan-19,5500,5500
09-Jan-19,123650,753700
10-Jan-19,54000,1296080
11-Jan-19,2612,17612
12-Jan-19,968880,34744640
13-Jan-19,312150,363400
14-Jan-19,63610,583910
15-Jan-19,3770,3810
16-Jan-19,5515,23426065
17-Jan-19,1550,327150
18-Jan-19,500,61000000
19-Jan-19,5600,6200
20-Jan-19,3000,200000
21-Jan-19,8000,2582000
22-Jan-19,28300,11183940
23-Jan-19,1560,13560
24-Jan-19,300,2000
25-Jan-19,9300,250400
26-Jan-19,17550,2119300
27-Jan-19,24600,56411660
28-Jan-19,0,200
29-Jan-19,2750,15050
30-Jan-19,20100,430500
31-Jan-19,228300,6758200
01-Feb-19,70000,70000
02-Feb-19,5499,1009100
03-Feb-19,1125,3500450
04-Feb-19,91120,661170
05-Feb-19,250,250
06-Feb-19,81500,3498500
07-Feb-19,2150,4150
08-Feb-19,200,300
09-Feb-19,72600,2778600
10-Feb-19,2001,944601
11-Feb-19,7000,606000
12-Feb-19,11000,824000
13-Feb-19,3621,2064020
14-Feb-19,45000,45000
15-Feb-19,46050,870500
16-Feb-19,21502,6075340
17-Feb-19,428000,2672500
18-Feb-19,60850,2825310
19-Feb-19,275001,375001
20-Feb-19,19000,42045105
21-Feb-19,23090,1111040
22-Feb-19,108200,1132000
23-Feb-19,45700,4000000
24-Feb-19,3600,25000100
25-Feb-19,4326,5400
26-Feb-19,21502,6075340
27-Feb-19,36701,53410201
01-Mar-19,1000,1700
02-Mar-19,19050,8845761
03-Mar-19,141150,1322050
04-Mar-19,186150,826370
05-Mar-19,65000,329580
06-Mar-19,27150,31000
07-Mar-19,51010,55513350
08-Mar-19,3520,24441350
09-Mar-19,4500,16350
10-Mar-19,82140,532270760
11-Mar-19,12060,3062910
12-Mar-19,54600,1326570
13-Mar-19,80000,1740550
14-Mar-19,240100,927920
15-Mar-19,152500,7120540
16-Mar-19,122000,1371000
17-Mar-19,13510,662510
18-Mar-19,10520,1318370
19-Mar-19,81605,36254505
20-Mar-19,12420,10557900
21-Mar-19,20000,3503000
22-Mar-19,1360,13301200
23-Mar-19,427027,1415350
24-Mar-19,225,525
25-Mar-19,401,20864876
26-Mar-19,435050,13279140
27-Mar-19,14000,16000
28-Mar-19,49000,35245500
29-Mar-19,6321,279660
30-Mar-19,7050,350007100
31-Mar-19,6251,6551
01-Apr-19,55240,705850
02-Apr-19,7600,677800
03-Apr-19,132020,61365540
04-Apr-19,4250,4250
05-Apr-19,12500,6656780
06-Apr-19,1500,7280410
07-Apr-19,188251,2270850
08-Apr-19,15500,5016600
09-Apr-19,10,10
10-Apr-19,2050,175550
11-Apr-19,7200,5004500
12-Apr-19,18400,14379400
13-Apr-19,1000,1125000
14-Apr-19,106001,726501
15-Apr-19,11506,21037651
16-Apr-19,17000,16612900
17-Apr-19,2000,78000
18-Apr-19,11050,12501
19-Apr-19,,
20-Apr-19,169400,137310430
21-Apr-19,168231,194730
22-Apr-19,6225,211200
23-Apr-19,3203,7005003
24-Apr-19,34000,766000
25-Apr-19,5901,508201
26-Apr-19,129301,36755151
27-Apr-19,229151,9110651
28-Apr-19,65500,2140910
29-Apr-19,4502,5002
30-Apr-19,3831,28731
01-May-19,82800,51939403
02-May-19,500,4369870
03-May-19,9600,7150620
04-May-19,584305,19697120
05-May-19,223941,7042951
06-May-19,4250,14212650
07-May-19,211,9352880
08-May-19,465,2865
09-May-19,29318,2584402
10-May-19,5700,708700
11-May-19,163626,52012126
12-May-19,21055,448645
13-May-19,219051,1120260
14-May-19,167702,3816261
15-May-19,213500,674500
16-May-19,15000,15000
17-May-19,4950,2548860
18-May-19,4500,11501
19-May-19,5000,3177000
20-May-19,22400,811750
21-May-19,18500,17990200
